Energy,TotalEfficiency
2242.1175970696,1.51223747057626e-06
2267.0735042735,1.52431242517066e-06
2292.02941147741,1.53595066244199e-06
2316.98531868132,1.54716921510669e-06
2341.94122588523,1.55798451192467e-06
2366.89713308913,1.56841238486382e-06
2391.85304029304,1.57846807859057e-06
2416.80894749695,1.58816626184795e-06
2441.76485470085,1.59752104034249e-06
2466.72076190476,1.60654597081347e-06
2491.67666910867,1.61525407600434e-06
2516.63257631258,1.6236578602965e-06
2541.58848351648,1.63176932580082e-06
2566.54439072039,1.63959998873331e-06
2591.5002979243,1.64716089592817e-06
2616.45620512821,1.65446264136495e-06
2641.41211233211,1.6615153826068e-06
2666.36801953602,1.66832885706456e-06
2691.32392673993,1.67491239801654e-06
2716.27983394383,1.68127495032723e-06
2741.23574114774,1.68742508581938e-06
2766.19164835165,1.69337101826361e-06
2791.14755555556,1.69912061795835e-06
2816.10346275946,1.70468142587964e-06
2841.05936996337,1.71006066738674e-06
2866.01527716728,1.71526526547448e-06
2890.97118437118,1.7203018535677e-06
2915.92709157509,1.72517678785666e-06
2940.882998779,1.72989615917559e-06
2965.83890598291,1.73446580442873e-06
2990.79481318681,1.73889131757062e-06
3015.75072039072,1.74317865835464e-06
3040.70662759463,1.74733499288325e-06
3065.66253479854,1.75136508925041e-06
3090.61844200244,1.75527333281475e-06
3115.57434920635,1.75906394594958e-06
3140.53025641026,1.76274099397246e-06
3165.48616361416,1.76630839090826e-06
3190.44207081807,1.76976990508351e-06
3215.39797802198,1.7731291645511e-06
3240.35388522589,1.77638966234521e-06
3265.30979242979,1.77955476156725e-06
3290.2656996337,1.78262770030406e-06
3315.22160683761,1.78561159638048e-06
3340.17751404151,1.78850945194857e-06
3365.13342124542,1.79132415791644e-06
3390.08932844933,1.79405849821979e-06
3415.04523565324,1.79671515393957e-06
3440.00114285714,1.79929670726954e-06
3464.95705006105,1.80180564533741e-06
3489.91295726496,1.80424436388352e-06
3514.86886446886,1.80661517080125e-06
3539.82477167277,1.808920289543e-06
3564.78067887668,1.81116186239611e-06
3589.73658608059,1.81334195363262e-06
3614.69249328449,1.81546255253721e-06
3639.6484004884,1.81752557631719e-06
3664.60430769231,1.81953287289874e-06
3689.56021489621,1.82148622361327e-06
3714.51612210012,1.82338734577786e-06
3739.47202930403,1.82523789517363e-06
3764.42793650794,1.82703946842568e-06
3789.38384371184,1.82879360528847e-06
3814.33975091575,1.83050179083993e-06
3839.29565811966,1.832165457588e-06
3864.25156532357,1.83378598749286e-06
3889.20747252747,1.83536471390813e-06
3914.16337973138,1.83690292344419e-06
3939.11928693529,1.83840185775677e-06
3964.07519413919,1.83986271526363e-06
3989.0311013431,1.84128665279235e-06
4013.98700854701,1.84267494513879e-06
4038.94291575092,1.84402938494057e-06
4063.89882295482,1.84535102724323e-06
4088.85473015873,1.84664079719327e-06
4113.81063736264,1.84789959115126e-06
4138.76654456655,1.84912827762995e-06
4163.72245177045,1.85032769820263e-06
4188.67835897436,1.85149866838259e-06
4213.63426617827,1.85264197847445e-06
4238.59017338217,1.853758394398e-06
4263.54608058608,1.8548486584855e-06
4288.50198778999,1.85591349025284e-06
4313.4578949939,1.85695358714563e-06
4338.4138021978,1.85796962526077e-06
4363.36970940171,1.85896226004423e-06
4388.32561660562,1.85993212696574e-06
4413.28152380952,1.86087984217116e-06
4438.23743101343,1.86180600311312e-06
4463.19333821734,1.86271118916064e-06
4488.14924542125,1.86359596218839e-06
4513.10515262515,1.86446086714621e-06
4538.06105982906,1.86530643260954e-06
4563.01696703297,1.86613317131137e-06
4587.97287423687,1.86694158065622e-06
4612.92878144078,1.86773214321696e-06
4637.88468864469,1.86850532721472e-06
4662.8405958486,1.86926158698268e-06
4687.7965030525,1.87000136341426e-06
4712.75241025641,1.87072508439606e-06
