Energy,IncidentSpectraPerArea
6434.71000732601,4532.87515780128
6459.66591452991,4687.17999010337
6484.62182173382,4495.11709610745
6509.57772893773,4723.09460479544
6534.53363614164,5186.7998922724
6559.48954334554,4729.561272839
6584.44545054945,5509.94411096793
6609.40135775336,5015.95056824218
6634.35726495727,5346.92471630415
6659.31317216117,5420.10062156462
6684.26907936508,5184.00074533769
6709.22498656899,5279.28601686843
6734.18089377289,5536.5381685981
6759.1368009768,5565.54197091283
6784.09270818071,5859.55637161199
6809.04861538462,5682.4519494095
6834.00452258852,5586.34636085248
6858.96042979243,5850.88606864292
6883.91633699634,5563.46764397086
6908.87224420024,5967.80637834653
6933.82815140415,5923.25872717651
6958.78405860806,5989.09287445841
6983.73996581197,5915.14500347283
7008.69587301587,5914.7854931428
7033.65178021978,6399.95211578983
