Energy,IncidentSpectraPerSr
5386.5619047619,221439094.796596
5411.51781196581,215308717.505505
5436.47371916972,260261170.888878
5461.42962637363,280877289.871892
5486.38553357753,294191958.239027
5511.34144078144,245515713.879752
5536.29734798535,273416429.857902
5561.25325518926,294017553.501096
5586.20916239316,287888055.657539
5611.16506959707,306051715.734897
5636.12097680098,287781676.576901
5661.07688400488,331435832.658372
5686.03279120879,318025247.000158
5710.9886984127,309474896.419629
5735.94460561661,351892164.331611
5760.90051282051,395509515.268042
5785.85642002442,397870989.879597
5810.81232722833,390530291.745962
5835.76823443223,402595265.536743
5860.72414163614,418295002.406643
5885.68004884005,393986365.772959
5910.63595604396,424229976.169377
5935.59186324786,429015760.892324
5960.54777045177,454400820.776485
5985.50367765568,482203013.171667
6010.45958485959,518478492.560767
6035.41549206349,495394772.050058
6060.3713992674,492906587.370227
6085.32730647131,503740185.451372
6110.28321367521,516993560.203346
6135.23912087912,558088531.54586
6160.19502808303,530178493.218205
6185.15093528694,596680210.791542
6210.10684249084,586926956.229392
6235.06274969475,653408155.370403
6260.01865689866,665430669.188885
6284.97456410256,647208313.697887
6309.93047130647,637458535.239664
6334.88637851038,649482508.924915
6359.84228571429,679645049.89356
6384.79819291819,645714560.75847
6409.7541001221,729072838.943459
6434.71000732601,743504847.758355
6459.66591452991,768814697.876705
6484.62182173382,737311581.689024
6509.57772893773,774705592.551572
6534.53363614164,850764852.329981
6559.48954334554,775766287.777416
6584.44545054945,903768582.801515
6609.40135775336,822741291.955924
6634.35726495727,877029326.591789
6659.31317216117,889032004.452136
6684.26907936508,850305722.254015
6709.22498656899,865934888.916844
6734.18089377289,908130673.104304
6759.1368009768,912888021.778978
6784.09270818071,961113733.853657
6809.04861538462,932064181.001893
6834.00452258852,916300461.838828
6858.96042979243,959691587.409155
6883.91633699634,912547780.30232
6908.87224420024,978869441.208289
6933.82815140415,971562512.725127
6958.78405860806,982360958.733041
6983.73996581197,970231659.194631
7008.69587301587,970172690.512749
7033.65178021978,1049752145.79243
7058.60768742369,1066584437.22807
7083.5635946276,1142534633.1167
7108.5195018315,1144888001.10329
7133.47540903541,1137592929.47732
7158.43131623932,1209916925.3721
7183.38722344322,1195387622.80655
7208.34313064713,1297863245.51454
7233.29903785104,1409982898.16416
7258.25494505495,1364098557.74568
7283.21085225885,1378524080.10153
7308.16675946276,1535262757.41798
7333.12266666667,1509892619.33683
7358.07857387057,1560503346.37012
7383.03448107448,1638852577.65482
7407.99038827839,1607466504.70625
7432.9462954823,1632763128.21734
7457.9022026862,1609829753.46965
7482.85810989011,1736428115.72957
7507.81401709402,1653213399.05568
7532.76992429792,1682148644.77298
7557.72583150183,1648386235.03776
7582.68173870574,1604983125.74986
7607.63764590965,1612231749.01777
7632.59355311355,1630339855.90525
7657.54946031746,1520630607.98583
7682.50536752137,1601458726.66483
7707.46127472528,1576174132.62595
7732.41718192918,1496625962.73072
7757.37308913309,1506325483.81979
7782.328996337,1501559998.44786
7807.2849035409,1652391596.31584
7832.24081074481,1653678622.12435
7857.19671794872,1732174246.16316
7882.15262515263,1838433293.16223
7907.10853235653,2013480228.26275
7932.06443956044,2242853760.71926
7957.02034676435,2474686765.93409
7981.97625396825,2759664469.1303
8006.93216117216,3323473270.73069
8031.88806837607,3782404874.76757
8056.84397557998,4599932160.72558
8081.79988278388,5137600230.15656
8106.75578998779,6084687208.46344
8131.7116971917,7047731297.67511
8156.6676043956,8245329942.4952
8181.62351159951,9339431603.77879
8206.57941880342,10483423477.3228
8231.53532600733,11515469383.7295
8256.49123321123,12905562267.8085
8281.44714041514,13864771492.7185
8306.40304761905,14562125209.4961
8331.35895482296,15354130895.2251
8356.31486202686,15988155055.4138
8381.27076923077,16141229931.2634
8406.22667643468,16229182404.8107
8431.18258363859,15846676145.3549
8456.13849084249,15288674290.3972
